COMID,HUC8,WA,Elev,BMMI,IWI,Slope
400496.B,11110103,808.002,346.218693,,0.6682231,0.00071231
400552.A,11110103,12.4911,279.5247835,,0.8403813,0.00918276
400704.A,11110103,39.1239,261.5207361,,0.852894,0.00075
400720.A,11110103,24.6411,333.9206859,,0.8764822,0.00287072
400824.A,11110103,43.4772,413.2707231,,0.6506667,0.00375613
400846.A,11110103,45.0378,412.0104634,,0.8580822,0.00177777
400880.A,11110103,884.4687,340.0757252,,0.5908549,0.00097247
400948.A,11110103,1.7325,239.921413,,0.7932973,0.01160588
400962.A,11110103,47.0169,415.5999874,,0.5873466,0.00412872
400970.A,11110103,18.7695,253.7175061,,0.7657449,0.00548036
401358.A,11110103,45.4518,449.3314005,,0.8476773,0.00565167
401656.A,11110103,69.6501,452.8752893,0.561666667,0.8360835,0.00358139
401664.A,11110103,2462.5773,359.0826278,0.232333333,0.698347,0.00001
401900.A,11110103,2528.6355,356.2323109,0.44,0.4532967,0.00029272
402190.A,11110103,3.3174,261.7253174,,0.820607,0.01545009
402330.A,11110103,15.5718,177.4734054,,0.4471516,0.00350687
402478.A,11110103,4183.7373,336.9353487,,0.6980707,0.00431918
402478.B,11110103,4183.7373,336.9353487,,0.6980707,0.00431918
402510.A,11110103,4227.3576,335.3520859,,0.7517635,0.00001
414193.A,11100302,35284.8357,939.105296,0.227666667,0.3931145,0.00093137
414203.A,11100302,35397.9063,937.253457,0.188666667,0.2193722,0.00001
414203.B,11100302,35397.9063,937.253457,0.188666667,0.2193722,0.00001
414291.A,11100302,35399.1213,937.2325692,,0.6209796,0.00179333
415437.A,11100302,34879.2237,945.7529325,0.566666667,0.8611289,0.0007691
415437.B,11100302,34879.2237,945.7529325,0.566666667,0.8611289,0.0007691
415463.A,11100302,35578.6308,934.2095741,,0.5202884,0.00065606
416965.A,11100302,39180.3876,873.5261407,0.224333333,0.3961705,0.00137889
417857.A,11100302,37.1574,295.5534058,,0.8037651,0.00170276
417863.A,11100302,23.2074,256.7884472,0.631333333,0.7491471,0.00300507
417933.A,11100302,35717.3937,931.9130917,,0.8732585,0.00001
417941.A,11100302,72.5256,247.656264,0.651333333,0.8859958,0.00175757
417941.B,11100302,72.5256,247.656264,0.651333333,0.8859958,0.00175757
417941.C,11100302,72.5256,247.656264,0.651333333,0.8859958,0.00175757
417987.A,11100302,11.0979,258.2466929,,0.2179072,0.00416551
418277.A,11100302,36967.9527,910.5302882,0.507666667,0.6802449,0.00058079
418331.A,11100302,1031.4306,264.667466,0.245333333,0.3960022,0.00001
418429.A,11100302,37417.5675,902.6940684,,0.6343842,0.00065966
418429.B,11100302,37417.5675,902.6940684,,0.6343842,0.00065966
423388.A,11130210,173.3715,260.7239751,,0.2138548,0.00147109
424280.A,11130210,19.3869,258.9599633,0.204333333,0.1951481,0.00506234
424280.B,11130210,19.3869,258.9599633,0.204333333,0.1951481,0.00506234
424280.C,11130210,19.3869,258.9599633,0.204333333,0.1951481,0.00506234
424280.D,11130210,19.3869,258.9599633,0.204333333,0.1951481,0.00506234
424286.A,11130210,12.4659,257.6364205,,0.5926183,0.00362554
424382.A,11130210,53.7606,247.3194928,,0.3218125,0.00176826
425068.A,11130210,77150.6289,627.4013499,0.221,0.296678,0.00001
426114.A,11130210,21.5415,231.952686,,0.8936843,0.00230324
426114.B,11130210,21.5415,231.952686,,0.8936843,0.00230324
426120.A,11130210,49.0113,239.1959313,,0.3212281,0.00333398
426120.B,11130210,49.0113,239.1959313,,0.3212281,0.00333398
426120.C,11130210,49.0113,239.1959313,,0.3212281,0.00333398
426120.D,11130210,49.0113,239.1959313,,0.3212281,0.00333398
426122.A,11130210,55.0179,241.6219072,,0.4452788,0.00250641
426122.B,11130210,55.0179,241.6219072,,0.4452788,0.00250641
426122.C,11130210,55.0179,241.6219072,,0.4452788,0.00250641
426240.A,11130210,51.5304,237.7254964,,0.5007025,0.00001
426320.A,11130210,88.6581,227.7274153,0.223666667,0.1946665,0.00001
426320.B,11130210,88.6581,227.7274153,0.223666667,0.1946665,0.00001
426320.C,11130210,88.6581,227.7274153,0.223666667,0.1946665,0.00001
429942.A,11130304,35.3889,360.3142626,,0.3050088,0.00251768
429982.A,11130304,121.3893,350.7628078,,0.2335432,0.00242445
430010.A,11130304,50.769,322.3470433,0.478,0.3091591,0.00392141
430036.A,11130304,172.1358,333.6432033,,0.1894462,0.0038637
430040.A,11130304,32.8707,307.1250836,,0.1465168,0.00406334
430066.A,11130304,192.8385,328.0029071,,0.2343651,0.00176009
430072.A,11130304,52.0506,296.8450878,,0.1775164,0.00291001
430202.A,11130304,32.0805,248.0259849,0.329666667,0.3124208,0.00244067
430208.A,11130304,32.571,253.3527842,,0.1851761,0.00323761
430208.B,11130304,32.571,253.3527842,,0.1851761,0.00323761
430318.A,11130304,26.6265,238.7398347,0.313666667,0.2793963,0.00609674
430318.B,11130304,26.6265,238.7398347,0.313666667,0.2793963,0.00609674
430318.C,11130304,26.6265,238.7398347,0.313666667,0.2793963,0.00609674
430424.A,11130304,66.7197,248.7750989,,0.282313,0.00244635
430440.A,11130304,91.2366,273.9570118,,0.4830064,0.00426199
430448.A,11130304,17.2188,235.5628863,,0.2644565,0.00443545
430464.A,11130304,26.2179,225.7926271,,0.3056106,0.00283381
430522.A,11130303,18573.5043,451.8120624,,0.4082774,0.00001
430554.A,11130304,19408.4514,444.0611503,,0.2863822,0.00022646
430554.B,11130304,19408.4514,444.0611503,,0.2863822,0.00022646
434020.A,5070201,22.1076,458.3794362,,0.796395334,0.01131688
434270.A,5070201,275.5611,289.6500976,,0.711278321,0.00040822
434272.A,5070201,270.1989,290.3825042,0.573,0.76195198,0.00001
434336.A,5070201,32.5404,325.7114144,,0.7441973,0.00309903
434338.A,5070201,177.7302,295.7868264,,0.866081453,0.00001
434362.A,5070201,67.7754,287.139759,0.43,0.624707618,0.00284464
434444.A,5070201,68.6421,298.1753293,0.624666667,0.732221141,0.00096563
434474.A,5070201,59.1426,338.5809589,,0.789289948,0.00055458
434520.A,5070201,46.7262,304.7391573,,0.722602737,0.00401647
434530.A,5070201,81.3555,303.4010529,0.325333333,0.847438921,0.00028072
434558.A,5070201,5.9013,286.5630609,,0.631696418,0.00630075
434640.A,5070201,215.2917,310.2607258,,0.433793635,0.00002931
434678.A,5070201,29.9205,315.3639907,,0.711461461,0.00263346
434684.A,5070201,57.0834,313.688664,0.478666667,0.842097851,0.00352743
434684.B,5070201,57.0834,313.688664,0.478666667,0.842097851,0.00352743
434686.A,5070201,204.615,312.1054332,,0.892426093,0.0032317
434742.A,5070201,45.702,318.1572611,0.460333333,0.812579855,0.00058261
434744.A,5070201,17.8902,325.1279988,0.471333333,0.86620617,0.00519463
434754.A,5070201,94.2336,311.3978876,0.554333333,0.603897705,0.0033407
434816.A,5070201,64.9152,317.6530109,,0.79786014,0.00144347
434826.A,5070201,82.1502,315.5986418,,0.699875293,0.00101349
434912.A,5070201,40.4955,326.2988296,0.470333333,0.747433314,0.00001
434918.A,5070201,12.6594,327.9247227,,0.874118396,0.018512
434926.A,5070201,27.4608,326.9344117,0.547,0.736165133,0.00554063
434968.A,5070201,13.7691,328.5356945,0.468,0.676132841,0.00732342
434970.A,5070201,9.0018,332.1322725,,0.721590883,0.01481536
435248.A,5070201,64.566,373.203456,0.448666667,0.875148169,0.00251787
435268.A,5070201,55.647,403.6760838,0.499333333,0.783558633,0.00723801
435346.A,5070201,2155.3218,557.5284226,,0.76157596,0.00019971
435414.A,5070201,40.752,425.7028516,,0.361412614,0.00784012
435500.A,5070201,1649.5353,588.5666627,0.464666667,0.633500378,0.00168433
435536.A,5070201,293.0247,480.4113277,0.569,0.738599871,0.00418283
435570.A,5070201,278.6742,484.2028479,0.544,0.70954236,0.00468288
435622.A,5070201,26.0811,364.5774181,0.343333333,0.802583437,0.0068225
436192.A,5070201,15.4305,510.9816419,0.427333333,0.863628839,0.01054054
436192.B,5070201,15.4305,510.9816419,0.427333333,0.863628839,0.01054054
436918.A,5070201,16.4169,731.3810493,,0.745304802,0.01452578
437406.A,5070201,249.3369,492.0363081,,0.644375751,0.000983
437440.A,5070201,228.9141,496.8093746,,0.846856321,0.00393451
437496.A,5070201,35.6247,496.5653922,0.513666667,0.829482071,0.01003319
445668.A,3140305,366.2577,99.29628854,0.217666667,0.3726931,0.00130074
445750.A,3140305,36.8091,85.83272256,,0.437648492,0.0031063
445776.A,3140305,25.857,96.95927845,,0.546144701,0.0032317
445834.A,3140305,502.0245,94.14677194,,0.662884916,0.00073394
445848.A,3140305,87.165,89.61505896,,0.359793376,0.00321589
445908.A,3140305,211.4262,84.92274066,0.432666667,0.702477879,0.00109364
445918.A,3140305,64.6191,81.93153414,0.477,0.603390498,0.00364636
445994.A,3140305,33.2748,76.09821865,,0.699846288,0.00517799
447606.A,3140305,25.2351,83.31024965,0.310333333,0.67522893,0.00501911
447606.B,3140305,25.2351,83.31024965,0.310333333,0.67522893,0.00501911
447672.A,3140305,87.1587,76.16270221,,0.470583839,0.0016302
447716.A,3140305,11.5902,57.18592949,0.511333333,0.886509845,0.00544651
448286.A,3140305,4.1391,38.98713851,0.428333333,0.677134191,0.00921127
448292.A,3140305,20.2671,56.41453262,,0.79808284,0.00365936
448306.A,3140305,106.3746,72.07099768,0.275666667,0.519194593,0.00232189
448318.A,3140305,29.2797,55.80873083,,0.785505262,0.00313382
448344.A,3140305,6.831,35.48900791,,0.801237354,0.00766275
448346.A,3140305,231.7005,65.24550331,,0.865520733,0.00158207
448444.A,3140305,9936.1764,95.40955728,0.49,0.648118573,0.00001
448560.A,3140305,10753.8939,91.8821675,,0.432625099,0.00001
448560.B,3140305,10753.8939,91.8821675,,0.432625099,0.00001
448568.A,3140305,10817.1351,91.48367191,0.367666667,0.57228398,0.00001
448612.A,3140305,10874.9934,91.12805877,,0.667310559,0.00001
448698.A,3140305,10021.0905,94.95714885,,0.895660176,0.00025404
453500.A,5100201,21.9177,309.207388,0.706,0.186222853,0.00811315
453506.A,5100201,7.2648,306.138164,0.736,0.187094307,0.01843557
453534.A,5100201,25.3188,311.6187054,0.290333333,0.16190316,0.00303206
453548.A,5100201,8.3376,336.3791667,,0.161519088,0.00566346
453558.A,5100201,46.3212,313.7124363,0.465333333,0.403434978,0.00163626
453582.A,5100201,3286.4148,396.9201916,0.398,0.326702194,0.00001
453600.A,5100201,6.3954,322.8836364,0.534333333,0.293454986,0.00891178
453610.A,5100201,29.7837,316.0783432,0.321333333,0.333228623,0.00409588
453642.A,5100201,7.7733,317.5196897,,0.205333742,0.00912677
453660.A,5100201,7.7229,333.8913623,,0.330026737,0.00954413
453662.A,5100201,12.4938,309.0982884,0.311666667,0.18199432,0.00274311
453762.A,5100201,3124.2771,402.2510732,,0.181183775,0.00001
453774.A,5100201,35.8623,308.3888968,,0.169626875,0.00310686
453778.A,5100201,5.3613,335.2125432,0.364666667,0.391931153,0.008744
453788.A,5100201,3391.9983,393.9928454,,0.207487653,0.00001
453832.A,5100201,24.2838,329.7911211,,0.368123178,0.00103668
453850.A,5100201,3082.4154,403.8510309,,0.367463335,0.00001
453892.A,5100201,8.8569,330.3407408,0.301666667,0.174997655,0.00956829
453932.A,5100201,17.3142,352.6809414,,0.164971294,0.00663648
454188.A,5100201,90.2196,353.5566738,,0.187251971,0.00109984
454208.A,5100201,8.3736,326.6557158,,0.164240933,0.00307228
454330.A,5100201,6.8391,376.1642177,,0.210162146,0.01722475
454342.A,5100201,37.9665,399.7052009,0.402666667,0.137605365,0.00350184
454382.A,5100201,14.9175,345.0164446,,0.202149105,0.00738125
454482.A,5100201,1.4931,429.6680952,0.114666667,0.16276576,0.03918852
454694.A,5100201,112.2246,448.6821477,0.484,0.336831486,0.00001
455160.A,5100201,1.9512,404.3772002,0.318666667,0.329730502,0.02575195
455174.A,5100201,3.1968,399.8187416,0.287333333,0.498800973,0.00891826
455202.A,5100201,4.0734,377.3815709,,0.162838225,0.02026068
455216.A,5100201,11.9097,383.5133885,,0.308366326,0.01420654
455248.A,5100201,4.0761,383.7894458,0.433666667,0.204281134,0.01584521
455254.A,5100201,7.6149,354.5869566,,0.429307407,0.01419161
455264.A,5100201,10.0431,383.2132377,,0.375392162,0.00825815
455264.B,5100201,10.0431,383.2132377,,0.375392162,0.00825815
455266.A,5100201,16.9902,379.180214,,0.512240451,0.00660652
455266.B,5100201,16.9902,379.180214,,0.512240451,0.00660652
455266.C,5100201,16.9902,379.180214,,0.512240451,0.00660652
455266.D,5100201,16.9902,379.180214,,0.512240451,0.00660652
455274.A,5100201,15.6123,375.4716671,0.488,0.586322937,0.00800468
455274.B,5100201,15.6123,375.4716671,0.488,0.586322937,0.00800468
455274.C,5100201,15.6123,375.4716671,0.488,0.586322937,0.00800468
455274.D,5100201,15.6123,375.4716671,0.488,0.586322937,0.00800468
455280.A,5100201,72.4887,376.4385908,0.321,0.354910693,0.00001
455282.A,5100201,55.6506,377.8402227,,0.242491772,0.00242359
455282.B,5100201,55.6506,377.8402227,,0.242491772,0.00242359
455302.A,5100201,5.7699,363.1167961,,0.452099028,0.01904447
455308.A,5100201,33.3513,425.304244,0.427,0.401010993,0.0114341
455318.A,5100201,99.8001,373.1179907,0.312666667,0.576267746,0.00078843
455358.A,5100201,21.1356,369.2654808,0.379333333,0.738616361,0.00573049
455374.A,5100201,8.1144,409.6793467,0.396,0.185957299,0.01445639
455588.A,5100201,5.6943,421.1949866,,0.305260119,0.01046879
455770.A,5100201,129.5352,411.9936101,0.288666667,0.255895108,0.00155857
455918.A,5100201,6.804,425.6262235,,0.726263701,0.01510311
455934.A,5100201,69.6105,417.2765444,0.433666667,0.836575534,0.00032786
456500.A,5100201,51.183,590.4972448,0.683666667,0.16420474,0.00212399
456520.A,5100201,7.3647,358.6451693,0.414333333,0.331479567,0.01527251
456942.A,5100201,6.9705,581.3859781,,0.156579563,0.00001
464838.A,5090103,61.5402,266.2270278,0.457,0.86678607,0.00105403
464868.A,5090103,45.1017,278.0327711,,0.303814965,0.00586309
465070.A,5090103,717.4593,280.585341,0.654666667,0.709561501,0.00001
465108.A,5090103,24.3297,261.0635298,0.564666667,0.803099569,0.00387703
465114.A,5090103,18.6147,266.4952459,0.479666667,0.605589612,0.00689794
465114.B,5090103,18.6147,266.4952459,0.479666667,0.605589612,0.00689794
465436.A,5090103,626.9391,283.7075291,0.525333333,0.675891525,0.00001
466636.A,5090103,31.5801,281.6148451,0.448,0.587925882,0.00326004
466676.A,5090103,32.8482,286.0536191,0.464,0.51558758,0.00520321
466718.A,5090103,6.7311,308.5267054,,0.921348506,0.01204119
466778.A,5090103,57.861,301.3974259,0.491666667,0.483252232,0.00001
466802.A,5090103,317.673,294.6974547,0.597666667,0.661794364,0.00066324
466806.A,5090103,20.6334,306.8079281,,0.409136972,0.00682704
466926.A,5090103,254.1159,301.841853,0.480666667,0.355001379,0.00087295
466976.A,5090103,4.0275,316.3864872,0.615,0.83596465,0.0120583
467120.A,5090103,68.0661,312.7676279,0.443666667,0.69683023,0.00199017
467140.A,5090103,37.9503,319.4623775,,0.839878835,0.00241308
467194.A,5090103,26.1,301.2289952,,0.691683632,0.00458333
482088.A,11090203,34.4961,327.6452829,,0.5027438,0.00358786
482634.A,11090203,1296.8433,335.7786219,,0.7490696,0.00048225
482644.A,11090203,1507.5342,328.4825204,,0.6653083,0.0004018
484578.A,11090203,2301.5511,314.1539875,,0.3943274,0.00063118
